acc	sex	mapped_sex
DRR048653		unknown
DRR048654		unknown
DRR048655		unknown
DRR048656		unknown
DRR048657		unknown
DRR048658		unknown
DRR048659		unknown
DRR048660		unknown
DRR048661		unknown
DRR048662		unknown
DRR048663		unknown
DRR048665		unknown
DRR048666		unknown
DRR048667		unknown
DRR048668		unknown
DRR053512		unknown
DRR053513		unknown
DRR053514		unknown
DRR053515		unknown
DRR053516		unknown
DRR053517		unknown
DRR053518		unknown
DRR053521		unknown
DRR053522		unknown
DRR053523		unknown
DRR053524		unknown
DRR053525		unknown
DRR053527		unknown
DRR053528		unknown
DRR053529		unknown
DRR053530		unknown
DRR053532		unknown
DRR053534		unknown
DRR053535		unknown
DRR061310	male	male
DRR061311	male	male
DRR061312	male	male
DRR061313	male	male
DRR061314	male	male
DRR061315	male	male
DRR117933	male	male
DRR117934	male	male
DRR117935	male	male
DRR117936	male	male
DRR117937	male	male
DRR117938	male	male
DRR117939	male	male
DRR117940	male	male
DRR117941	male	male
DRR117942	male	male
DRR117943	male	male
DRR117944	male	male
DRR152037	male	male
DRR152038	male	male
DRR152039	male	male
DRR152040	male	male
DRR152041	male	male
DRR152042	male	male
ERR1450590		unknown
ERR1450591		unknown
ERR1450592		unknown
ERR1450593		unknown
ERR1450594		unknown
ERR1450595		unknown
ERR1450596		unknown
ERR1450597		unknown
ERR1450598		unknown
ERR1450600		unknown
ERR1450601		unknown
ERR162214		unknown
ERR1697209		unknown
ERR1697210		unknown
ERR1697211		unknown
ERR1697212		unknown
ERR1697213		unknown
ERR1697214		unknown
ERR1697215		unknown
ERR1697216		unknown
ERR1697217		unknown
ERR1697218		unknown
ERR1697219		unknown
ERR1697221		unknown
ERR1697222		unknown
ERR1697223		unknown
ERR1697224		unknown
ERR1697225		unknown
ERR1697226		unknown
ERR1697227		unknown
ERR1697228		unknown
ERR1697229		unknown
ERR1697230		unknown
ERR1697231		unknown
ERR1697232		unknown
ERR1697233		unknown
ERR1697234		unknown
ERR1699776		unknown
ERR1699778		unknown
ERR1699779		unknown
ERR1699780		unknown
ERR1699781		unknown
ERR1699783		unknown
ERR1699784		unknown
ERR1699786		unknown
ERR1699787		unknown
ERR1699790		unknown
ERR1699791		unknown
ERR1699792		unknown
ERR1699793		unknown
ERR1699795		unknown
ERR1699797		unknown
ERR1699798		unknown
ERR1699799		unknown
ERR1699801		unknown
ERR1699803		unknown
ERR1699804		unknown
ERR1699805		unknown
ERR1699806		unknown
ERR1699807		unknown
ERR1699809		unknown
ERR1699810		unknown
ERR1699811		unknown
ERR1699812		unknown
ERR1699815		unknown
ERR1739854		unknown
ERR1739858		unknown
ERR1739860		unknown
ERR1739861		unknown
ERR1739863		unknown
ERR1739864		unknown
ERR1739865		unknown
ERR1739866		unknown
ERR1739871		unknown
ERR1739872		unknown
ERR1739873		unknown
ERR1739874		unknown
ERR1739875		unknown
ERR1739879		unknown
ERR1739882		unknown
ERR1739883		unknown
ERR1739884		unknown
ERR1739885		unknown
ERR1739886		unknown
ERR1739887		unknown
ERR1739890		unknown
ERR1739892		unknown
ERR1739897		unknown
ERR1739901		unknown
ERR1742967		unknown
ERR1742969		unknown
ERR1856407		unknown
ERR1992811		unknown
ERR1992812		unknown
ERR1992813		unknown
ERR1992814		unknown
ERR1992815		unknown
ERR1992816		unknown
ERR1992817		unknown
ERR1992818		unknown
ERR1992819		unknown
ERR1992820		unknown
ERR1992821		unknown
ERR1992823		unknown
ERR1992824		unknown
ERR1992825		unknown
ERR1992826		unknown
ERR1992827		unknown
ERR1992828		unknown
ERR1992829		unknown
ERR1992830		unknown
ERR1992831		unknown
ERR1992832		unknown
ERR1992833		unknown
ERR1992834		unknown
ERR1992835		unknown
ERR2060198		unknown
ERR2060199		unknown
ERR2060200		unknown
ERR2060201		unknown
ERR2060202		unknown
ERR2060203		unknown
ERR2060204		unknown
ERR2060205		unknown
ERR2060206		unknown
ERR2060207		unknown
ERR2060208		unknown
ERR2060209		unknown
ERR2061821		unknown
ERR2061822		unknown
ERR2061823		unknown
ERR2061824		unknown
ERR2061826		unknown
ERR2061827		unknown
ERR2061830		unknown
ERR2061831		unknown
ERR2061832		unknown
ERR2061834		unknown
ERR2061835		unknown
ERR2061836		unknown
ERR2061838		unknown
ERR2061840		unknown
ERR2099828		unknown
ERR2099829		unknown
ERR2099830		unknown
ERR2099832		unknown
ERR2099833		unknown
ERR2099834		unknown
ERR2099835		unknown
ERR2099837		unknown
ERR2107354		unknown
ERR2107355		unknown
ERR2107356		unknown
ERR2107357		unknown
ERR2107358		unknown
ERR2107359		unknown
ERR2107360		unknown
ERR2107361		unknown
ERR2107363		unknown
ERR2107364		unknown
ERR2107365		unknown
ERR2107366		unknown
ERR2107367		unknown
ERR2107368		unknown
ERR2107370		unknown
ERR2107371		unknown
ERR2107373		unknown
ERR2107374		unknown
ERR2107375		unknown
ERR2107377		unknown
ERR2117615		unknown
ERR2117616		unknown
ERR2117617		unknown
ERR2117618		unknown
ERR2117619		unknown
ERR2117620		unknown
ERR2117621		unknown
ERR2117622		unknown
ERR2117623		unknown
ERR2117624		unknown
ERR2117625		unknown
ERR2117626		unknown
ERR2117627		unknown
ERR2117628		unknown
ERR2117629		unknown
ERR2117631		unknown
ERR2117632		unknown
ERR2130652		unknown
ERR2130653		unknown
ERR2130654		unknown
ERR2130655		unknown
ERR2130656		unknown
ERR2130657		unknown
ERR2130658		unknown
ERR2130659		unknown
ERR2130660		unknown
ERR2130661		unknown
ERR2130662		unknown
ERR2130663		unknown
ERR2130664		unknown
ERR2130665		unknown
ERR2130666		unknown
ERR2130667		unknown
ERR2130668		unknown
ERR2130669		unknown
ERR2130670		unknown
ERR2130671		unknown
ERR2130672		unknown
ERR2130673		unknown
ERR2130674		unknown
ERR2130675		unknown
ERR2130676		unknown
ERR2130677		unknown
ERR2130678		unknown
ERR2130679		unknown
ERR2130680		unknown
