acc	sex	mapped_sex
E-MEXP-889-H_SAMPLE191880SUB2835	male	male
E-MEXP-889-H_SAMPLE191881SUB2835	male	male
E-MEXP-999-10r_1hr_E4_75-11	female	female
E-MEXP-999-11_1hr_E5_75-11	female	female
E-MEXP-999-12_1hr_E6_75-11	female	female
E-MEXP-999-13_2hr_C1_75-11	female	female
E-MEXP-999-14_2hr_C2_75-11	female	female
E-MEXP-999-15_2hr_C3_75-11	female	female
E-MEXP-999-16_2hr_C4_75-11	female	female
E-MEXP-999-18_2hr_C6_75-11	female	female
E-MEXP-999-19_2hr_E1_75-11	female	female
E-MEXP-999-1r_1hr_C1_75-11	female	female
E-MEXP-999-20_2hr_E2_75-11	female	female
E-MEXP-999-21r_2hr_E3_75-11	female	female
E-MEXP-999-23r_2hr_E5_75-11	female	female
E-MEXP-999-24_2hr_E6_75-11	female	female
E-MEXP-999-25_8hr_C1_75-11	female	female
E-MEXP-999-26_8hr_C2_75-11	female	female
E-MEXP-999-27_8hr_C3_75-11	female	female
E-MEXP-999-28_8hr_C4_75-11	female	female
E-MEXP-999-2r_1hr_C2_75-11	female	female
E-MEXP-999-30_8hr_C6_75-11	female	female
E-MEXP-999-31r_8hr_E1_75-11	female	female
E-MEXP-999-32_8hr_E2_75-11	female	female
E-MEXP-999-34_8hr_E4_75-11	female	female
E-MEXP-999-35_8hr_E5_75-11	female	female
E-MEXP-999-36_8hr_E6_75-11	female	female
E-MEXP-999-37_24hr_C1_75-11	female	female
E-MEXP-999-38r_24hr_C2_75-11	female	female
E-MEXP-999-39r_24hr_C3_75-11	female	female
E-MEXP-999-3_1hr_C5_75-11	female	female
E-MEXP-999-40_24hr_C4_75-11	female	female
E-MEXP-999-42rs_24hr_C6_75-11	female	female
E-MEXP-999-43r_24hr_E1_75-11	female	female
E-MEXP-999-44_24hr_E2_75-11	female	female
E-MEXP-999-45r_24hr_E3_75-11	female	female
E-MEXP-999-46_24hr_E4_75-11	female	female
E-MEXP-999-47_24hr_E5_75-11	female	female
E-MEXP-999-49_48hr_C1_75-11	female	female
E-MEXP-999-4_1hr_C4_75-11	female	female
E-MEXP-999-50_48hr_C2_75-11	female	female
E-MEXP-999-51_48hr_C3_75-11	female	female
E-MEXP-999-53_48hr_C5_75-11	female	female
E-MEXP-999-54_48hr_C6_75-11	female	female
E-MEXP-999-55_48hr_E1_75-11	female	female
E-MEXP-999-56_48hr_E2_75-11	female	female
E-MEXP-999-57_48hr_E3_75-11	female	female
E-MEXP-999-58_48hr_E4_75-11	female	female
E-MEXP-999-59_48hr_E5_75-11	female	female
E-MEXP-999-5_1hr_C5_75-11	female	female
E-MEXP-999-61_F1_C1_75-11	female	female
E-MEXP-999-63_72hr_C3_75-11	female	female
E-MEXP-999-64_72hr_C4_75-11	female	female
E-MEXP-999-65_72hr_C5_75-11	female	female
E-MEXP-999-66_72hr_C6_75-11	female	female
E-MEXP-999-67_72hr_E1_75-11	female	female
E-MEXP-999-68_72hr_E2_75-11	female	female
E-MEXP-999-69_72hr_E3_75-11	female	female
E-MEXP-999-70_72hr_E4_75-11	female	female
E-MEXP-999-71_72hr_E5_75-11	female	female
E-MEXP-999-74_96hr_C2_75-11	female	female
E-MEXP-999-75_96hr_C3_75-11	female	female
E-MEXP-999-76_96hr_C4_75-11	female	female
E-MEXP-999-77_96hr_C5_75-11	female	female
E-MEXP-999-78_96hr_C6_75-11	female	female
E-MEXP-999-79_96hr_E1_75-11	female	female
E-MEXP-999-7_1hr_E1_75-11	female	female
E-MEXP-999-80r_96hr_E2_75-11	female	female
E-MEXP-999-81_96hr_E3_75-11	female	female
E-MEXP-999-82_96hr_E4_75-11	female	female
E-MEXP-999-83_96hr_E5_75-11	female	female
E-MEXP-999-8_1hr_E2_75-11	female	female
E-MIMR-541-csc.mrc.ac.uk:mimir/Hybridization:MMB3RAE230AA2994		unknown
E-MIMR-541-csc.mrc.ac.uk:mimir/Hybridization:MMB3RAE230AA3000		unknown
E-MIMR-541-csc.mrc.ac.uk:mimir/Hybridization:MMB3RAE230AA3001		unknown
E-MIMR-541-csc.mrc.ac.uk:mimir/Hybridization:MMB3RAE230AC3996		unknown
E-MIMR-541-csc.mrc.ac.uk:mimir/Hybridization:MMB3RAE230AC4004		unknown
E-MIMR-541-csc.mrc.ac.uk:mimir/Hybridization:MMB3RAE230AC4005		unknown
E-MIMR-541-csc.mrc.ac.uk:mimir/Hybridization:MMB3RAE230AN1142		unknown
E-MIMR-541-csc.mrc.ac.uk:mimir/Hybridization:MMB3RAE230AN1904		unknown
E-MIMR-541-csc.mrc.ac.uk:mimir/Hybridization:MMB3RAE230AN1907		unknown
E-MTAB-3688-SHRSP__brn-jp-06		unknown
E-MTAB-3688-SHRSP__brn-jp-07		unknown
E-MTAB-3688-SHRSP__brn-jp-08		unknown
E-MTAB-3688-SHRSP__brn-jp-09		unknown
E-MTAB-3688-SHRSP__brn-jp-10		unknown
E-MTAB-3688-SHRSP__brn-nd-26		unknown
E-MTAB-3688-SHRSP__brn-nd-27		unknown
E-MTAB-3688-SHRSP__brn-nd-28		unknown
E-MTAB-3688-SHRSP__brn-nd-29		unknown
E-MTAB-3688-SHRSP__brn-nd-30		unknown
E-MTAB-3688-SHRSP__kdn-jp-16		unknown
E-MTAB-3688-SHRSP__kdn-jp-17		unknown
E-MTAB-3688-SHRSP__kdn-jp-18		unknown
E-MTAB-3688-SHRSP__kdn-jp-19		unknown
E-MTAB-3688-SHRSP__kdn-jp-20		unknown
E-MTAB-3688-SHRSP__kdn-nd-36		unknown
E-MTAB-3688-SHRSP__kdn-nd-37		unknown
E-MTAB-3688-SHRSP__kdn-nd-38		unknown
E-MTAB-3688-SHRSP__kdn-nd-39		unknown
E-MTAB-3688-SHRSP__kdn-nd-40		unknown
E-MTAB-3688-SHRmol-brn-jp-01		unknown
E-MTAB-3688-SHRmol-brn-jp-02		unknown
E-MTAB-3688-SHRmol-brn-jp-03		unknown
E-MTAB-3688-SHRmol-brn-jp-04		unknown
E-MTAB-3688-SHRmol-brn-jp-05		unknown
E-MTAB-3688-SHRmol-brn-nd-21		unknown
E-MTAB-3688-SHRmol-brn-nd-22		unknown
E-MTAB-3688-SHRmol-brn-nd-23		unknown
E-MTAB-3688-SHRmol-brn-nd-24		unknown
E-MTAB-3688-SHRmol-brn-nd-25		unknown
E-MTAB-3688-SHRmol-kdn-jp-11		unknown
E-MTAB-3688-SHRmol-kdn-jp-12		unknown
E-MTAB-3688-SHRmol-kdn-jp-13		unknown
E-MTAB-3688-SHRmol-kdn-jp-14		unknown
E-MTAB-3688-SHRmol-kdn-jp-15		unknown
E-MTAB-3688-SHRmol-kdn-nd-31		unknown
E-MTAB-3688-SHRmol-kdn-nd-32		unknown
E-MTAB-3688-SHRmol-kdn-nd-33		unknown
E-MTAB-3688-SHRmol-kdn-nd-34		unknown
E-MTAB-3688-SHRmol-kdn-nd-35		unknown
E-TABM-12-PBA: 10_EE_LDResp_M4_1576-171	male	male
E-TABM-12-PBA: 11r_EE_LDResp_H3_1576-171	male	male
E-TABM-12-PBA: 12_EE_LDResp_HH6_1576-171	male	male
E-TABM-12-PBA: 13_EE_LDResp_C3_1576-171	male	male
E-TABM-12-PBA: 14r_EE_LDResp_LL4_1576-171	male	male
E-TABM-12-PBA: 15_EE_LDResp_L4_1576-171	male	male
E-TABM-12-PBA: 16r_EE_LDResp_M5_1576-171	male	male
E-TABM-12-PBA: 17_EE_LDResp_H4_1576-171	male	male
E-TABM-12-PBA: 19_EE_LDResp_C4_1576-171	male	male
E-TABM-12-PBA: 20_EE_LDResp_LL5_1576-171	male	male
E-TABM-12-PBA: 21_EE_LDResp_L5_1576-171	male	male
E-TABM-12-PBA: 23_EE_LDResp_H5_1576-171	male	male
E-TABM-12-PBA: 24_EE_LDResp_HH9_1576-171	male	male
E-TABM-12-PBA: 25_EE_LDResp_C5_1576-171	male	male
E-TABM-12-PBA: 26r_EE_LDResp_LL6_1576-171	male	male
E-TABM-12-PBA: 27_EE_LDResp_L6_1576-171	male	male
E-TABM-12-PBA: 28_EE_LDResp_M7_1576-171	male	male
E-TABM-12-PBA: 29_EE_LDResp_H6_1576-171	male	male
E-TABM-12-PBA: 2r_EE_LDResp_LL1_1576-171	male	male
E-TABM-12-PBA: 30_EE_LDResp_HH10_1576-171	male	male
E-TABM-12-PBA: 31_EE_LDResp_C6_1576-171	male	male
E-TABM-12-PBA: 32_EE_LDResp_LL9_1576-171	male	male
E-TABM-12-PBA: 33_EE_LDResp_L7_1576-171	male	male
E-TABM-12-PBA: 34_EE_LDResp_M8_1576-171	male	male
E-TABM-12-PBA: 35r_EE_LDResp_H7_1576-171	male	male
E-TABM-12-PBA: 36_EE_LDResp_HH12_1576-171	male	male
E-TABM-12-PBA: 37r_EE_LDResp_C7_1576-171	male	male
E-TABM-12-PBA: 38_EE_LDResp_LL10_1576-171	male	male
E-TABM-12-PBA: 39_EE_LDResp_L8_1576-171	male	male
E-TABM-12-PBA: 3r_EE_LDResp_L2_1576-171	male	male
E-TABM-12-PBA: 40r_EE_LDResp_M9_1576-171	male	male
E-TABM-12-PBA: 41_EE_LDResp_H8_1576-171	male	male
E-TABM-12-PBA: 42_EE_LDResp_HH14_1576-171	male	male
E-TABM-12-PBA: 4_EE_LDResp_M2_1576-171	male	male
E-TABM-12-PBA: 6_EE_LDResp_HH2_1576-171	male	male
E-TABM-12-PBA: 7r_EE_LDResp_C2_1576-171	male	male
E-TABM-12-PBA: 8_EE_LDResp_LL2_1576-171	male	male
E-TABM-12-PBA: 9r_EE_LDResp_L3_1576-171	male	male
E-TABM-45-SHR1A_24wks		unknown
E-TABM-45-SHR1A_6wks		unknown
E-TABM-45-SHR2A_24wks		unknown
E-TABM-45-SHR2A_6wks		unknown
E-TABM-45-SHR3A_24wks		unknown
E-TABM-45-SHR3A_6wks		unknown
E-TABM-45-SHR4A_24wks		unknown
E-TABM-45-SHR4A_6wks		unknown
E-TABM-45-SHR5A_24wks		unknown
E-TABM-45-SHR5A_6wks		unknown
E-TABM-45-SISA1A_24wks		unknown
E-TABM-45-SISA1A_6wks		unknown
E-TABM-45-SISA2A_24wks		unknown
E-TABM-45-SISA2A_6wks		unknown
E-TABM-45-SISA3A_24wks		unknown
E-TABM-45-SISA3A_6wks		unknown
E-TABM-45-SISA4A_24wks		unknown
E-TABM-45-SISA4A_6wks		unknown
E-TABM-45-SISA5A_24wks		unknown
E-TABM-45-SISA5A_6wks		unknown
E-TABM-45-SconSa1A_24wks		unknown
E-TABM-45-SconSa1A_6wks		unknown
E-TABM-45-SconSa2A_24wks		unknown
E-TABM-45-SconSa2A_6wks		unknown
E-TABM-45-SconSa3A_24wks		unknown
E-TABM-45-SconSa3A_6wks		unknown
E-TABM-45-SconSa4A_24wks		unknown
E-TABM-45-SconSa4A_6wks		unknown
E-TABM-45-SconSa5A_24wks		unknown
E-TABM-45-SconSa5A_6wks		unknown
E-TABM-45-WKY1A_24wks		unknown
E-TABM-45-WKY1A_6wks		unknown
E-TABM-45-WKY2A_24wks		unknown
E-TABM-45-WKY2A_6wks		unknown
E-TABM-45-WKY3A_24wks		unknown
E-TABM-45-WKY3A_6wks		unknown
E-TABM-45-WKY4A_24wks		unknown
E-TABM-45-WKY4A_6wks		unknown
E-TABM-45-WKY5A_24wks		unknown
E-TABM-45-WKY5A_6wks		unknown
E-TABM-45-WconSa1A_24wks		unknown
E-TABM-45-WconSa1A_6wks		unknown
E-TABM-45-WconSa2A_24wks		unknown
E-TABM-45-WconSa2A_6wks		unknown
E-TABM-45-WconSa3A_24wks		unknown
E-TABM-45-WconSa3A_6wks		unknown
E-TABM-45-WconSa4A_24wks		unknown
E-TABM-45-WconSa4A_6wks		unknown
E-TABM-45-WconSa5A_24wks		unknown
E-TABM-45-WconSa5A_6wks		unknown
E-TABM-457-adr_BN-1	male	male
E-TABM-457-adr_BN-2	male	male
E-TABM-457-adr_BN-3	male	male
E-TABM-457-adr_BN-4	male	male
E-TABM-457-adr_BN-5	male	male
E-TABM-457-adr_BXH02-1	male	male
E-TABM-457-adr_BXH02-2	male	male
E-TABM-457-adr_BXH02-3	male	male
E-TABM-457-adr_BXH02-4	male	male
E-TABM-457-adr_BXH03-1	male	male
E-TABM-457-adr_BXH03-2	male	male
E-TABM-457-adr_BXH03-3	male	male
E-TABM-457-adr_BXH03-4	male	male
E-TABM-457-adr_BXH05-1	male	male
E-TABM-457-adr_BXH05-2	male	male
E-TABM-457-adr_BXH05-3	male	male
E-TABM-457-adr_BXH06-1	male	male
E-TABM-457-adr_BXH06-2	male	male
E-TABM-457-adr_BXH06-3	male	male
E-TABM-457-adr_BXH06-4	male	male
E-TABM-457-adr_BXH08-1	male	male
E-TABM-457-adr_BXH08-2	male	male
E-TABM-457-adr_BXH08-3	male	male
E-TABM-457-adr_BXH08-4	male	male
E-TABM-457-adr_BXH09-1	male	male
E-TABM-457-adr_BXH09-2	male	male
E-TABM-457-adr_BXH09-3	male	male
E-TABM-457-adr_BXH09-4	male	male
E-TABM-457-adr_BXH10-1	male	male
E-TABM-457-adr_BXH10-2	male	male
E-TABM-457-adr_BXH10-3	male	male
E-TABM-457-adr_BXH11-1	male	male
E-TABM-457-adr_BXH11-2	male	male
E-TABM-457-adr_BXH11-3	male	male
E-TABM-457-adr_BXH11-4	male	male
E-TABM-457-adr_BXH12-1	male	male
E-TABM-457-adr_BXH12-2	male	male
E-TABM-457-adr_BXH12-3	male	male
E-TABM-457-adr_BXH12-4	male	male
E-TABM-457-adr_BXH13-1	male	male
E-TABM-457-adr_BXH13-2	male	male
E-TABM-457-adr_BXH13-3	male	male
E-TABM-457-adr_BXH13-4	male	male
E-TABM-457-adr_HXB01-1	male	male
E-TABM-457-adr_HXB01-2	male	male
E-TABM-457-adr_HXB01-3	male	male
E-TABM-457-adr_HXB01-4	male	male
E-TABM-457-adr_HXB02-1	male	male
E-TABM-457-adr_HXB02-2	male	male
E-TABM-457-adr_HXB02-3	male	male
E-TABM-457-adr_HXB02-4	male	male
E-TABM-457-adr_HXB03-1	male	male
E-TABM-457-adr_HXB03-2	male	male
E-TABM-457-adr_HXB03-3	male	male
E-TABM-457-adr_HXB03-4	male	male
E-TABM-457-adr_HXB04-1	male	male
E-TABM-457-adr_HXB04-2	male	male
E-TABM-457-adr_HXB04-3	male	male
E-TABM-457-adr_HXB04-4	male	male
E-TABM-457-adr_HXB05-1	male	male
E-TABM-457-adr_HXB05-2	male	male
E-TABM-457-adr_HXB05-3	male	male
E-TABM-457-adr_HXB05-4	male	male
E-TABM-457-adr_HXB07-1	male	male
E-TABM-457-adr_HXB07-2	male	male
E-TABM-457-adr_HXB07-3	male	male
E-TABM-457-adr_HXB07-4	male	male
E-TABM-457-adr_HXB10-1	male	male
E-TABM-457-adr_HXB10-2	male	male
E-TABM-457-adr_HXB10-3	male	male
E-TABM-457-adr_HXB10-4	male	male
E-TABM-457-adr_HXB15-1	male	male
E-TABM-457-adr_HXB15-2	male	male
E-TABM-457-adr_HXB15-3	male	male
E-TABM-457-adr_HXB15-4	male	male
E-TABM-457-adr_HXB17-1	male	male
E-TABM-457-adr_HXB17-2	male	male
E-TABM-457-adr_HXB17-3	male	male
E-TABM-457-adr_HXB17-4	male	male
E-TABM-457-adr_HXB18-1	male	male
E-TABM-457-adr_HXB18-2	male	male
E-TABM-457-adr_HXB18-3	male	male
E-TABM-457-adr_HXB18-4	male	male
E-TABM-457-adr_HXB20-1	male	male
E-TABM-457-adr_HXB20-2	male	male
E-TABM-457-adr_HXB20-3	male	male
E-TABM-457-adr_HXB20-4	male	male
E-TABM-457-adr_HXB21-1	male	male
E-TABM-457-adr_HXB21-2	male	male
E-TABM-457-adr_HXB21-3	male	male
E-TABM-457-adr_HXB21-4	male	male
E-TABM-457-adr_HXB22-1	male	male
E-TABM-457-adr_HXB22-2	male	male
E-TABM-457-adr_HXB22-3	male	male
E-TABM-457-adr_HXB22-4	male	male
E-TABM-457-adr_HXB23-1	male	male
E-TABM-457-adr_HXB23-2	male	male
E-TABM-457-adr_HXB23-3	male	male
E-TABM-457-adr_HXB23-4	male	male
E-TABM-457-adr_HXB24-1	male	male
E-TABM-457-adr_HXB24-2	male	male
E-TABM-457-adr_HXB24-3	male	male
E-TABM-457-adr_HXB24-4	male	male
E-TABM-457-adr_HXB25-1	male	male
E-TABM-457-adr_HXB25-2	male	male
E-TABM-457-adr_HXB25-3	male	male
E-TABM-457-adr_HXB25-4	male	male
E-TABM-457-adr_HXB27-1	male	male
E-TABM-457-adr_HXB27-2	male	male
E-TABM-457-adr_HXB27-3	male	male
E-TABM-457-adr_HXB27-4	male	male
E-TABM-457-adr_HXB29-1	male	male
E-TABM-457-adr_HXB29-2	male	male
E-TABM-457-adr_HXB29-3	male	male
E-TABM-457-adr_HXB29-4	male	male
E-TABM-457-adr_HXB31-1	male	male
E-TABM-457-adr_HXB31-2	male	male
E-TABM-457-adr_HXB31-3	male	male
E-TABM-457-adr_HXB31-4	male	male
E-TABM-457-adr_SHR-1	male	male
E-TABM-457-adr_SHR-2	male	male
E-TABM-457-adr_SHR-3	male	male
E-TABM-457-adr_SHR-4	male	male
