acc	sex	mapped_sex
DRR061310	male	male
DRR061311	male	male
DRR061312	male	male
DRR061313	male	male
DRR061314	male	male
DRR061315	male	male
DRR117933	male	male
DRR117934	male	male
DRR117935	male	male
DRR117936	male	male
DRR117937	male	male
DRR117938	male	male
DRR117939	male	male
DRR117940	male	male
DRR117941	male	male
DRR117942	male	male
DRR117943	male	male
DRR117944	male	male
DRR152037	male	male
DRR152038	male	male
DRR152039	male	male
DRR152040	male	male
DRR152041	male	male
DRR152042	male	male
E-MEXP-1069-Expt03_37C_000min_RIN96	male	male
E-MEXP-1069-Expt03_37C_000min_RIN97	male	male
E-MEXP-1069-Expt03_37C_060min_RIN92	male	male
E-MEXP-1069-Expt03_37C_120min_RIN83	male	male
E-MEXP-1069-Expt03_37C_150min_RIN81	male	male
E-MEXP-1069-Expt03_37C_180min_RIN77	male	male
E-MEXP-1069-Expt03_37C_210min_RIN72	male	male
E-MEXP-1069-Expt03_37C_240min_RIN68	male	male
E-MEXP-1069-Expt03_37C_270min_RIN64	male	male
E-MEXP-1069-Expt03_37C_300min_RIN49	male	male
E-MEXP-1069-Expt04_37C_000min_RIN90	male	male
E-MEXP-1069-Expt04_37C_000min_RIN91	male	male
E-MEXP-1069-Expt04_37C_060min_RIN90	male	male
E-MEXP-1069-Expt04_37C_120min_RIN89	male	male
E-MEXP-1069-Expt04_37C_150min_RIN86	male	male
E-MEXP-1069-Expt04_37C_180min_RIN78	male	male
E-MEXP-1069-Expt04_37C_210min_RIN68	male	male
E-MEXP-1069-Expt04_37C_240min_RIN63	male	male
E-MEXP-1069-Expt04_37C_270min_RIN52	male	male
E-MEXP-1069-Expt05_37C_000min_RIN93	male	male
E-MEXP-1069-Expt05_37C_060min_RIN91	male	male
E-MEXP-1069-Expt05_37C_120min_RIN81	male	male
E-MEXP-1069-Expt05_37C_180min_RIN69	male	male
E-MEXP-1069-Expt05_37C_240min_RIN55	male	male
E-MEXP-1069-Expt06_FT_000min_RIN94	male	male
E-MEXP-1069-Expt06_FT_020min_RIN80	male	male
E-MEXP-1069-Expt06_FT_030min_RIN70	male	male
E-MEXP-1069-Expt06_FT_040min_RIN63	male	male
E-MEXP-1069-Expt07_FT_000min_RIN96	male	male
E-MEXP-1069-Expt07_FT_020min_RIN83	male	male
E-MEXP-1069-Expt07_FT_060min_RIN61	male	male
E-MEXP-1069-Expt10_FT_005min_RIN95	male	male
E-MEXP-1069-Expt10_FT_020min_RIN79	male	male
E-MEXP-1069-Expt10_FT_030min_RIN69	male	male
E-MEXP-1069-Expt10_FT_040min_RIN63	male	male
E-MEXP-1069-Expt11_FT_040min_RIN72	male	male
E-MEXP-1195-Kidney_BN-24	male	male
E-MEXP-1195-Kidney_BN-25	male	male
E-MEXP-1195-Kidney_BN26	male	male
E-MEXP-1195-Kidney_GK-29	male	male
E-MEXP-1195-Kidney_GK30	male	male
E-MEXP-1195-Kidney_GK31	male	male
E-MEXP-1195-Kidney_STZ-10	male	male
E-MEXP-1195-Kidney_STZ-5	male	male
E-MEXP-1195-Kidney_STZ-7	male	male
E-MEXP-1195-Kidney_W-2	male	male
E-MEXP-1195-Kidney_W3	male	male
E-MEXP-1195-Kidney_W4A	male	male
E-MEXP-1232-IN1	male	male
E-MEXP-1232-IN2	male	male
E-MEXP-1232-IN3	male	male
E-MEXP-1232-MK1	male	male
E-MEXP-1232-MK2	male	male
E-MEXP-1232-MK3	male	male
E-MEXP-1563-Site10 Batch1 Mix1 Kit1 Chip1	male	male
E-MEXP-1563-Site10 Batch1 Mix1 Kit1 Chip2	male	male
E-MEXP-1563-Site10 Batch1 Mix1 Kit3 Chip1	male	male
E-MEXP-1563-Site10 Batch1 Mix1 Kit3 Chip2	male	male
E-MEXP-1563-Site10 Batch1 Mix2 Kit1 Chip1	male	male
E-MEXP-1563-Site10 Batch1 Mix2 Kit1 Chip2	male	male
E-MEXP-1563-Site10 Batch1 Mix2 Kit3 Chip1	male	male
E-MEXP-1563-Site10 Batch1 Mix2 Kit3 Chip2	male	male
E-MEXP-1563-Site10 Batch2 Mix1 Kit1 Chip1	male	male
E-MEXP-1563-Site10 Batch2 Mix1 Kit1 Chip2	male	male
E-MEXP-1563-Site10 Batch2 Mix1 Kit3 Chip1	male	male
E-MEXP-1563-Site10 Batch2 Mix1 Kit3 Chip2	male	male
E-MEXP-1563-Site10 Batch2 Mix2 Kit1 Chip1	male	male
E-MEXP-1563-Site10 Batch2 Mix2 Kit1 Chip2	male	male
E-MEXP-1563-Site10 Batch2 Mix2 Kit3 Chip1	male	male
E-MEXP-1563-Site10 Batch2 Mix2 Kit3 Chip2	male	male
E-MEXP-1563-Site10 Batch3 Mix1 Kit1 Chip1	male	male
E-MEXP-1563-Site10 Batch3 Mix1 Kit1 Chip2	male	male
E-MEXP-1563-Site10 Batch3 Mix1 Kit3 Chip1	male	male
E-MEXP-1563-Site10 Batch3 Mix1 Kit3 Chip2	male	male
E-MEXP-1563-Site10 Batch3 Mix2 Kit1 Chip1	male	male
E-MEXP-1563-Site10 Batch3 Mix2 Kit1 Chip2	male	male
E-MEXP-1563-Site10 Batch3 Mix2 Kit3 Chip1	male	male
E-MEXP-1563-Site10 Batch3 Mix2 Kit3 Chip2	male	male
E-MEXP-157-HYBRID5595SUB823	male	male
E-MEXP-157-HYBRID5597SUB823	male	male
E-MEXP-157-HYBRID5599SUB823	male	male
E-MEXP-157-HYBRID5601SUB823	male	male
E-MEXP-157-HYBRID5603SUB823	male	male
E-MEXP-157-HYBRID5605SUB823	male	male
E-MEXP-157-HYBRID5607SUB823	male	male
E-MEXP-157-HYBRID5609SUB823	male	male
E-MEXP-157-HYBRID5611SUB823	male	male
E-MEXP-157-HYBRID5613SUB823	male	male
E-MEXP-157-HYBRID5615SUB823	male	male
E-MEXP-157-HYBRID5617SUB823	male	male
E-MEXP-157-HYBRID5619SUB823	male	male
E-MEXP-157-HYBRID5621SUB823	male	male
E-MEXP-157-HYBRID5623SUB823	male	male
E-MEXP-157-HYBRID5625SUB823	male	male
E-MEXP-157-HYBRID5627SUB823	male	male
E-MEXP-157-HYBRID5629SUB823	male	male
E-MEXP-157-HYBRID5631SUB823	male	male
E-MEXP-157-HYBRID5633SUB823	male	male
E-MEXP-2098-Saline_1	male	male
E-MEXP-2098-Saline_2	male	male
E-MEXP-2098-Saline_3	male	male
E-MEXP-2098-Sham_1	male	male
E-MEXP-2098-Sham_2	male	male
E-MEXP-2098-Sham_3	male	male
E-MEXP-2098-Tempol_1	male	male
E-MEXP-2098-Tempol_2	male	male
E-MEXP-2098-Tempol_3	male	male
E-MEXP-2098-Ucn II_1	male	male
E-MEXP-2098-Ucn II_2	male	male
E-MEXP-2098-Ucn II_3	male	male
E-MEXP-2098-Ucn I_1	male	male
E-MEXP-2098-Ucn I_2	male	male
E-MEXP-2098-Ucn I_3	male	male
E-MEXP-338-NRubinstein1(N2)N4RAE230A	male	male
E-MEXP-338-NRubinstein1(N3)N5RAE230A	male	male
E-MEXP-338-NRubinstein1(N4)S3RAE230A	male	male
E-MEXP-338-NRubinstein1(N5)S5RAE230A	male	male
E-MEXP-338-NRubinstein1(N6)S6RAE230A	male	male
E-MEXP-338-NRubinstein1(N7)N2+6RAE230A	male	male
E-MEXP-515-H_SAMPLEwk4C1	male	male
E-MEXP-515-H_SAMPLEwk4C2	male	male
E-MEXP-515-H_SAMPLEwk4C3	male	male
E-MEXP-515-H_SAMPLEwk8C3	male	male
E-MEXP-515-H_SAMPLEwk8D1	male	male
E-MEXP-515-H_SAMPLEwk8D2	male	male
E-MEXP-515-H_SAMPLEwk8D3	male	male
E-MEXP-570-H10L10E10S10_E14_CTX	mixed_sex	mixed
E-MEXP-570-H11L11E11S11_E14_CTX	mixed_sex	mixed
E-MEXP-570-H12L12E12S12_E14_CTX	mixed_sex	mixed
E-MEXP-570-H13L13E13S13_E16_MGE	mixed_sex	mixed
E-MEXP-570-H14L14E14S14_E16_MGE	mixed_sex	mixed
E-MEXP-570-H15L15E15S15_E16_MGE	mixed_sex	mixed
E-MEXP-570-H16L16E16S16_E16_LGE	mixed_sex	mixed
E-MEXP-570-H17L17E17S17_E16_LGE	mixed_sex	mixed
E-MEXP-570-H18L18E18S18_E16_LGE	mixed_sex	mixed
E-MEXP-570-H19L19E19S19_E16_CGE	mixed_sex	mixed
E-MEXP-570-H1L1E1S1_E14_MGE	mixed_sex	mixed
E-MEXP-570-H20L20E20S20_E16_CGE	mixed_sex	mixed
E-MEXP-570-H21L21E21S21_E16_CGE	mixed_sex	mixed
E-MEXP-570-H22L22E22S22_E16_CTX	mixed_sex	mixed
E-MEXP-570-H23L23E23S23_E16_CTX	mixed_sex	mixed
E-MEXP-570-H24L24E24S24_E16_CTX	mixed_sex	mixed
E-MEXP-570-H25L25E25S25_E12.5_MGE	mixed_sex	mixed
E-MEXP-570-H26L26E26S26_E12.5_MGE	mixed_sex	mixed
E-MEXP-570-H27L27E27S27_E12.5_MGE	mixed_sex	mixed
E-MEXP-570-H28L28E28S28_E12.5_CTX	mixed_sex	mixed
E-MEXP-570-H29L29E29S29_E12.5_CTX	mixed_sex	mixed
E-MEXP-570-H2L2E2S2_E14_MGE	mixed_sex	mixed
E-MEXP-570-H30L30E30S30_E12.5_CTX	mixed_sex	mixed
E-MEXP-570-H3L3E3S3_E14_MGE	mixed_sex	mixed
E-MEXP-570-H4L4E4S4_E14_LGE	mixed_sex	mixed
E-MEXP-570-H5L5E5S5_E14_LGE	mixed_sex	mixed
E-MEXP-570-H6L6E6S6_E14_LGE	mixed_sex	mixed
E-MEXP-570-H7L7E7S7_E14_CGE	mixed_sex	mixed
E-MEXP-570-H8L8E8S8_E14_CGE	mixed_sex	mixed
E-MEXP-570-H9L9E9S9_E14_CGE	mixed_sex	mixed
E-MEXP-782-C1		unknown
E-MEXP-782-C2		unknown
E-MEXP-782-C3		unknown
E-MEXP-782-C4		unknown
E-MEXP-782-C5		unknown
E-MEXP-782-Ph1		unknown
E-MEXP-782-Pr1		unknown
E-MEXP-782-Pr2		unknown
E-MEXP-782-Pr3		unknown
E-MEXP-782-Pr4		unknown
E-MEXP-782-Pr5		unknown
E-MEXP-782-PrPh1		unknown
E-MEXP-889-H_SAMPLE191873SUB2835	male	male
E-MEXP-889-H_SAMPLE191874SUB2835	male	male
E-MEXP-889-H_SAMPLE191875SUB2835	male	male
E-MEXP-889-H_SAMPLE191876SUB2835	male	male
E-MEXP-889-H_SAMPLE191877SUB2835	male	male
E-MEXP-889-H_SAMPLE191878SUB2835	male	male
E-MEXP-889-H_SAMPLE191879SUB2835	male	male
