organism,species_taxonomy_id,ensembl_division,strain,assembly
PSEUDOMONAS_AERUGINOSA,287,EnsemblBacteria,PAO1,ASM676v1
CANDIDA_ALBICANS,5476,EnsemblFungi,SC5314,Cand_albi_SC5314_V4
ESCHERICHIA_COLI,562,EnsemblBacteria,ATCC 25922,Escherichia coli ATCC 25922
STAPHYLOCOCCUS_AUREUS,1280,EnsemblBacteria,USA300_FPR3757,ASM1346v1
STREPTOCOCCUS_PNEUMONIAE,1313,EnsemblBacteria,TIGR4 ATCC BAA-334,ASM688v1
STENOTROPHOMONAS_MALTOPHILIA,40324,EnsemblBacteria,K279a,ASM7248v1
ASPERGILLUS_FUMIGATUS,746128,EnsemblFungi,Af293,ASM265v1
KLEBSIELLA_PNEUMONIAE,573,EnsemblBacteria,ATCC 700721 MGH 78578,ASM1630v1
