probe_id	ensembl_id
ILMN_1348896	ENSRNOG00000049232
ILMN_1348964	ENSRNOG00000000195
ILMN_1349005	ENSRNOG00000017100
ILMN_1349117	ENSRNOG00000052919
ILMN_1349153	ENSRNOG00000000199
ILMN_1349346	ENSRNOG00000047610
ILMN_1349677	ENSRNOG00000029793
ILMN_1349707	ENSRNOG00000000916
ILMN_1349979	ENSRNOG00000048033
ILMN_1350013	ENSRNOG00000033061
ILMN_1350312	ENSRNOG00000046583
ILMN_1350429	ENSRNOG00000021680
ILMN_1350432	ENSRNOG00000026346
ILMN_1350473	ENSRNOG00000014551
ILMN_1350524	ENSRNOG00000047280
ILMN_1350827	ENSRNOG00000040005
ILMN_1350982	ENSRNOG00000013116
ILMN_1351083	ENSRNOG00000013238
ILMN_1351485	ENSRNOG00000003872
ILMN_1351728	ENSRNOG00000042543
ILMN_1351809	ENSRNOG00000046844
ILMN_1351895	ENSRNOG00000030018
ILMN_1351989	ENSRNOG00000004146
ILMN_1352014	ENSRNOG00000029792
ILMN_1352678	ENSRNOG00000046147
ILMN_1352704	ENSRNOG00000048263
ILMN_1352851	ENSRNOG00000020821
ILMN_1352924	ENSRNOG00000049743
ILMN_1352934	ENSRNOG00000026672
ILMN_1353057	ENSRNOG00000002462
ILMN_1353127	ENSRNOG00000047104
ILMN_1353150	ENSRNOG00000057064
ILMN_1353317	ENSRNOG00000003176
ILMN_1353425	ENSRNOG00000019082
ILMN_1353574	ENSRNOG00000048668
ILMN_1353675	ENSRNOG00000018935
ILMN_1354090	ENSRNOG00000020807
ILMN_1354356	ENSRNOG00000002960
ILMN_1354734	ENSRNOG00000002824
ILMN_1354835	ENSRNOG00000001634
ILMN_1355198	ENSRNOG00000047387
ILMN_1355332	ENSRNOG00000004252
ILMN_1355507	ENSRNOG00000000461
ILMN_1355527	ENSRNOG00000047279
ILMN_1355551	ENSRNOG00000046473
ILMN_1355685	ENSRNOG00000011777
ILMN_1355874	ENSRNOG00000009878
ILMN_1355973	ENSRNOG00000037541
ILMN_1356079	ENSRNOG00000028877
ILMN_1356083	ENSRNOG00000020025
ILMN_1356091	ENSRNOG00000045760
ILMN_1356394	ENSRNOG00000020830
ILMN_1356509	ENSRNOG00000014846
ILMN_1356539	ENSRNOG00000006589
ILMN_1356604	ENSRNOG00000049242
ILMN_1357018	ENSRNOG00000046762
ILMN_1357082	ENSRNOG00000003041
ILMN_1357106	ENSRNOG00000009508
ILMN_1357178	ENSRNOG00000025216
ILMN_1357228	ENSRNOG00000049096
ILMN_1357399	ENSRNOG00000049074
ILMN_1357524	ENSRNOG00000011542
ILMN_1357827	ENSRNOG00000062297
ILMN_1357854	ENSRNOG00000030414
ILMN_1358609	ENSRNOG00000002597
ILMN_1358638	ENSRNOG00000046298
ILMN_1358694	ENSRNOG00000045611
ILMN_1358765	ENSRNOG00000011271
ILMN_1359156	ENSRNOG00000042470
ILMN_1359268	ENSRNOG00000049850
ILMN_1359375	ENSRNOG00000001262
ILMN_1359512	ENSRNOG00000047419
ILMN_1359893	ENSRNOG00000000201
ILMN_1360061	ENSRNOG00000045663
ILMN_1360132	ENSRNOG00000020119
ILMN_1360191	ENSRNOG00000045565
ILMN_1360409	ENSRNOG00000031108
ILMN_1360461	ENSRNOG00000034040
ILMN_1360841	ENSRNOG00000047595
ILMN_1361118	ENSRNOG00000002379
ILMN_1361540	ENSRNOG00000050142
ILMN_1362284	ENSRNOG00000011856
ILMN_1362544	ENSRNOG00000004146
ILMN_1362558	ENSRNOG00000058416
ILMN_1362651	ENSRNOG00000037709
ILMN_1362870	ENSRNOG00000024849
ILMN_1363032	ENSRNOG00000046099
ILMN_1363065	ENSRNOG00000001573
ILMN_1363206	ENSRNOG00000023407
ILMN_1363348	ENSRNOG00000045569
ILMN_1363413	ENSRNOG00000009273
ILMN_1363425	ENSRNOG00000013116
ILMN_1363591	ENSRNOG00000036782
ILMN_1363623	ENSRNOG00000046390
ILMN_1364014	ENSRNOG00000052636
ILMN_1364399	ENSRNOG00000020110
ILMN_1364703	ENSRNOG00000009324
ILMN_1364789	ENSRNOG00000021183
ILMN_1364894	ENSRNOG00000047837
ILMN_1364952	ENSRNOG00000011692
ILMN_1365340	ENSRNOG00000060572
ILMN_1365384	ENSRNOG00000029958
ILMN_1365467	ENSRNOG00000011494
ILMN_1365704	ENSRNOG00000055179
ILMN_1366115	ENSRNOG00000019215
ILMN_1366364	ENSRNOG00000046850
ILMN_1366562	ENSRNOG00000014685
ILMN_1367010	ENSRNOG00000054932
ILMN_1367105	ENSRNOG00000047848
ILMN_1367166	ENSRNOG00000048998
ILMN_1367406	ENSRNOG00000013116
ILMN_1367502	ENSRNOG00000038970
ILMN_1367549	ENSRNOG00000023393
ILMN_1367777	ENSRNOG00000045903
ILMN_1367815	ENSRNOG00000013112
ILMN_1367877	ENSRNOG00000046663
ILMN_1368448	ENSRNOG00000046439
ILMN_1368503	ENSRNOG00000011304
ILMN_1368513	ENSRNOG00000056833
ILMN_1368696	ENSRNOG00000038540
ILMN_1369356	ENSRNOG00000024889
ILMN_1369449	ENSRNOG00000045757
ILMN_1369574	ENSRNOG00000057340
ILMN_1369876	ENSRNOG00000015818
ILMN_1369927	ENSRNOG00000019346
ILMN_1370629	ENSRNOG00000054265
ILMN_1370642	ENSRNOG00000056595
ILMN_1370761	ENSRNOG00000049807
ILMN_1370946	ENSRNOG00000007112
ILMN_1370965	ENSRNOG00000054359
ILMN_1371212	ENSRNOG00000030341
ILMN_1371406	ENSRNOG00000016871
ILMN_1371556	ENSRNOG00000018426
ILMN_1371685	ENSRNOG00000048209
ILMN_1371715	ENSRNOG00000005505
ILMN_1371773	ENSRNOG00000020197
ILMN_1372198	ENSRNOG00000059748
ILMN_1373023	ENSRNOG00000036647
ILMN_1373443	ENSRNOG00000049356
ILMN_1373506	ENSRNOG00000006612
ILMN_1373542	ENSRNOG00000045737
ILMN_1373776	ENSRNOG00000046225
ILMN_1373791	ENSRNOG00000020117
ILMN_1373841	ENSRNOG00000011271
ILMN_1374041	ENSRNOG00000048295
ILMN_1374195	ENSRNOG00000013250
ILMN_1374568	ENSRNOG00000050126
ILMN_1374577	ENSRNOG00000008249
ILMN_1374589	ENSRNOG00000028335
ILMN_1374660	ENSRNOG00000011329
ILMN_1374725	ENSRNOG00000001742
ILMN_1374984	ENSRNOG00000033805
ILMN_1375061	ENSRNOG00000053241
ILMN_1375117	ENSRNOG00000028335
ILMN_1375182	ENSRNOG00000020133
ILMN_1375909	ENSRNOG00000061714
ILMN_1376516	ENSRNOG00000036782
ILMN_1376573	ENSRNOG00000061714
ILMN_1376727	ENSRNOG00000012801
ILMN_1376887	ENSRNOG00000048775
ILMN_1530414	ENSRNOG00000010555
ILMN_1649773	ENSRNOG00000028335
ILMN_1649810	ENSRNOG00000046735
ILMN_1650536	ENSRNOG00000011096
ILMN_1650571	ENSRNOG00000010555
ILMN_1650594	ENSRNOG00000008551
ILMN_1650954	ENSRNOG00000055982
ILMN_2039346	ENSRNOG00000047854
